stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
9108, 4862, "Vagaļi", , 56.4242553, 27.4867599, 9108, , , , , 
9109, 4862, "Vagaļi", , 56.4240145, 27.4873559, 9109, , , , , 
9110, 4865, "Jaunolaine (Meža iela)", , 56.8002148, 23.9880430, 9110, , , , , 
9112, 4871, "Ķekavas ciems", , 56.8234363, 24.2285008, 9112, , , , , 
9113, 4878, "Sakaru nodaļa", , 56.7674223, 24.1091648, 9113, , , , , 
9114, 4878, "Sakaru nodaļa", , 56.7657153, 24.1081989, 9114, , , , , 
9115, 4882, "Mellupi 2", , 56.7331789, 24.1096915, 9115, , , , , 
9116, 4882, "Mellupi 2", , 56.7322437, 24.1095171, 9116, , , , , 
9118, 4887, "Bikova", , 56.3807415, 26.9033926, 9118, , , , , 
9119, 4887, "Bikova", , 56.3805510, 26.9031863, 9119, , , , , 
9121, 4888, "Kotļarova", , 56.3722375, 26.8909225, 9121, , , , , 
9122, 4889, "Silajāņi", , 56.3401908, 26.9423602, 9122, , , , , 
9123, 4891, "Antāni", , 56.3584441, 26.9000859, 9123, , , , , 
9124, 4891, "Antāni", , 56.3585182, 26.8998555, 9124, , , , , 
9125, 4892, "Červoņiki", , 56.3620782, 26.8680502, 9125, , , , , 
9126, 4892, "Červoņiki", , 56.3622107, 26.8671294, 9126, , , , , 
9127, 4893, "Dekšāres", , 56.5708936, 26.8010484, 9127, , , , , 
9128, 4893, "Dekšāres", , 56.5714110, 26.8012867, 9128, , , , , 
9129, 4895, "Sondori", , 56.4704373, 26.9172971, 9129, , , , , 
9130, 4896, "Maltas Trūpi", , 56.4481007, 26.9176083, 9130, , , , , 
9131, 4896, "Maltas Trūpi", , 56.4479999, 26.9176626, 9131, , , , , 
9136, 4899, "Jaudzemi", , 56.0964357, 27.0201167, 9136, , , , , 
9137, 4899, "Jaudzemi", , 56.0965336, 27.0203994, 9137, , , , , 
9142, 4903, "Duntišķi", , 56.1456615, 26.5308846, 9142, , , , , 
9143, 4903, "Duntišķi", , 56.1454897, 26.5309673, 9143, , , , , 
9147, 4906, "Lazdāni", , 56.1694644, 26.5267508, 9147, , , , , 
9148, 4906, "Lazdāni", , 56.1704891, 26.5251283, 9148, , , , , 
9149, 4907, "Upmala", , 56.1979726, 26.5152037, 9149, , , , , 
9150, 4909, "Kazēri", , 56.2097517, 26.4908308, 9150, , , , , 
9151, 4910, "Zabludnieki", , 56.2263348, 26.4696039, 9151, , , , , 
9152, 4911, "Kursīši", , 56.2327166, 26.4526652, 9152, , , , , 
9153, 4912, "Mazkursīši", , 56.2356234, 26.4298005, 9153, , , , , 
9154, 4913, "Mačāni", , 56.2517843, 26.3996709, 9154, , , , , 
9155, 4915, "Šķilteri", , 56.2729610, 26.3874149, 9155, , , , , 
9156, 4916, "Vanagi", , 56.2893514, 26.3762255, 9156, , , , , 
9157, 4918, "Gardrivieši", , 56.4376404, 26.5076397, 9157, , , , , 
9158, 4918, "Gardrivieši", , 56.4375986, 26.5078746, 9158, , , , , 
9159, 4921, "Arendole", , 56.1496331, 26.6099153, 9159, , , , , 
9160, 4922, "Pumpuri", , 56.1554606, 26.6008584, 9160, , , , , 
9161, 4923, "Saliņa", , 56.1670737, 26.5713746, 9161, , , , , 
9162, 4925, "Dubenca", , 56.1851499, 26.5254371, 9162, , , , , 
9163, 4926, "Veterinārā aptieka", , 56.1959653, 26.4944520, 9163, , , , , 
9164, 4928, "Dzintars", , 56.2090302, 26.4463154, 9164, , , , , 
9165, 4929, "Rimicāni", , 56.2113645, 26.4286014, 9165, , , , , 
9166, 4930, "Brieži", , 56.2154902, 26.4072114, 9166, , , , , 
