service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
88640, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88641, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88642, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88648, 0, 0, 1, 0, 0, 0, 0, 20210601, 20210630
88649, 0, 0, 1, 0, 0, 0, 0, 20210601, 20210630
88650, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88651, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88656, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88657, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88658, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88659, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88664, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88665, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88666, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88667, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88689, 0, 1, 0, 0, 0, 0, 0, 20210319, 20210630
88690, 1, 0, 1, 1, 1, 0, 0, 20210407, 20210531
88691, 1, 0, 1, 1, 1, 0, 0, 20210407, 20210531
88692, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88693, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88706, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88707, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88708, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88709, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88714, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88715, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88716, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88717, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88718, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88725, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
88726, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
88731, 1, 0, 1, 1, 0, 1, 0, 20210319, 20210630
88732, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
84135, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84136, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84137, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84138, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84144, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84145, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84146, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84147, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84152, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84153, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84154, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84155, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84160, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84161, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84162, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84163, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84169, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84170, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84171, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84172, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84177, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84178, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84179, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84185, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84186, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84187, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84188, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84189, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210919
84194, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
84195, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210919
84196, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210919
84197, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84220, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210919
84221, 0, 0, 0, 1, 0, 0, 0, 20210319, 20210919
84222, 0, 0, 0, 1, 0, 0, 0, 20210319, 20210919
84227, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84229, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210919
84230, 1, 1, 1, 0, 1, 1, 0, 20210319, 20210919
84237, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84238, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84239, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210919
84246, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
84247, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210919
89726, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
89727, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
89728, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
89729, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
90336, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90337, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90338, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90386, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90387, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90389, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
90788, 1, 0, 0, 1, 0, 0, 0, 20210601, 20210630
90789, 0, 1, 1, 0, 1, 0, 0, 20210601, 20210630
90790, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
92620, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
92650, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
92651, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
94782, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
103363, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
103364, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
103365, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210630
104352, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210531
104357, 1, 1, 1, 1, 1, 0, 0, 20210601, 20210630
104499, 1, 1, 0, 1, 1, 0, 0, 20210407, 20210531
104501, 0, 0, 0, 1, 0, 0, 0, 20210601, 20210630
104502, 0, 0, 0, 1, 0, 0, 0, 20210407, 20210531
104503, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210531
104509, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
104527, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210919
104694, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
104695, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
104708, 0, 0, 0, 1, 0, 0, 0, 20210407, 20210531
104709, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
104710, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
104711, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
104735, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
104736, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210531
104737, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210919
104800, 1, 1, 1, 1, 1, 0, 0, 20210501, 20210630
104801, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210430
104802, 0, 0, 0, 0, 1, 0, 0, 20210407, 20210531
